Source,Timestamp,TEAM_ID,MISSION_TIME,PACKET_NO,ALTITUDE,PRESSURE,TEMP,BATTERY_VOLTAGE,GPS_TIME,GPS_LAT,GPS_LON,GPS_ALT,GPS_SATS,AX,AY,AZ,GXS,GYS,GZS,FLIGHTSOFTWARE_STATUS,SURFACE_TEMP,SMOKE,CARBON_DIOXIDE,AMMONIA,METHANE,CARBON_MONOXIDE,PITCH,ROLL,YAW
rocket,2025-10-29T22:01:13.243Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,88,-92.78,1001.54,25.21,6.92,,,,,,4.56,-0.09,0.09,0.22,0.34,,,,,59.23,571.58,,,179.01,2.29,-46.85
rocket,2025-10-29T22:01:14.268Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,89,-92.78,1001.54,25.21,6.92,,,,,,4.56,-0.09,0.09,0.22,0.34,,,,,59.34,571.89,,,179.01,2.29,-46.85
rocket,2025-10-29T22:01:16.283Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,90,-92.78,1001.54,25.21,6.92,,,,,,4.56,-0.09,-0.13,0.22,0.34,,,,,59.34,571.89,,,179.01,2.29,-46.85
rocket,2025-10-29T22:01:17.294Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,91,-92.78,1001.54,25.21,6.92,,,,,,4.56,-0.09,-0.13,0.22,0.34,,,,,59.34,571.89,,,179.01,2.29,-46.85
cansat,2025-10-29T21:56:07.946Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,70,-92.93,1001.4,25.03,6.92,,,,,,-0.03,,-0.06,-0.45,-0.11,0.11,,,,571.58,59.23,,,-154.49,-28.71,-99.26
cansat,2025-10-29T21:56:08.964Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,71,-92.93,1001.4,25.03,6.92,,,,,,-0.03,,-0.06,-0.45,-0.11,0.11,,,,571.58,59.23,,,-154.49,-28.71,-99.26
cansat,2025-10-29T21:56:10.179Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,72,-92.93,1001.4,25.03,6.92,,,,,,-0.03,,-0.06,-0.45,-0.11,0.11,,,,571.58,59.23,,,-154.49,-28.71,-99.26
cansat,2025-10-29T21:56:11.286Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,73,-92.83,1001.52,25.03,6.91,,,,,,-0.01,-0.02,-0.06,-0.45,-0.22,,,,,571.58,59.23,,,-154.35,-28.86,-99.65
cansat,2025-10-29T21:56:12.304Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,74,-92.83,1001.52,25.03,6.91,,,,,,-0.01,-0.02,-0.06,-0.45,-0.22,,,,,571.89,59.34,,,-154.35,-28.86,-99.65
cansat,2025-10-29T21:56:14.319Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,75,-92.83,1001.52,25.03,6.91,,,,,,-0.01,-0.02,-0.02,-0.45,-0.22,,,,,571.89,59.34,,,-154.35,-28.86,-99.65
